category,filename,title,description
sketches,IMG_8406,Original Sketch,Freehand drawing showcasing creative vision and artistic skill.
sketches,IMG_8776,Pencil Study,"Detailed pencil sketch exploring form, shading, and composition."
sketches,IMG_8778,Creative Illustration,Original illustration drawn from imagination.
sketches,IMG_8781,Sketch Study,Observational drawing practice capturing detail and perspective.
sketches,IMG_8783,Artistic Rendering,A freehand rendering exploring line work and artistic expression.
woodwork,IMG_8725,Woodworking Project,Handcrafted wood piece built with precision measurement and planning.
woodwork,IMG_8726,Workshop Build,Detail shot of a woodworking build — precise cuts and clean joinery.
woodwork,IMG_8730,Side Table — Build Process,Designing and assembling the wooden side table with working drawers from scratch.
woodwork,IMG_8734,Wood Finishing,Applying finishing techniques to achieve a professional surface result.
woodwork,IMG_8735,Completed Side Table,"The finished wooden side table with working drawers, built entirely from scratch."
woodwork,IMG_8767,Metalworking — Welding Setup,Learning safe tool handling and structural assembly during metal fabrication.
woodwork,IMG_8768,Welding in Progress,Fabricating the wall-mountable metal side table using welding techniques.
woodwork,IMG_8770,Metal Fabrication Detail,Close-up of welded joints on the metal side table project.
woodwork,IMG_8771,Metal Table Assembly,Structural assembly of the welded metal wall-mount side table.
woodwork,IMG_8772,Metalwork Progress,Mid-build view of the metal side table taking shape.
woodwork,IMG_8773,Completed Metal Table,Finished wall-mountable metal side table — fabricated and welded from raw material.
woodwork,IMG_8775,Craft & Build,Showcasing the quality and craftsmanship of a completed build project.
rubiks,IMG_8754,Rubik's Cube — 17.7s Record,Midwest Cubing Association recognized solve. Trains daily to improve speed and consistency.
lego,IMG_8737,LEGO creation, Garage lift and flooring created using LEGO.
lego,IMG_8738,LEGO creation,Garage lift and flooring created using LEGO.
lego,IMG_8739,LEGO creation,Garage lift and flooring created using LEGO.
lego,IMG_8741,LEGO creation,Garage lift and flooring created using LEGO.
lego,IMG_8742,LEGO creation,Internal Engine Model,Working motion model that demonstrates how an internal combustion engine operates. Created using LEGO kit.
lego,IMG_8755,LEGO creation,LEGO Porsche inspired car creation using random LEGO pieces.lego,IMG_8743,LEGO Build in Motion,Watch the build come together in this video.
lego,IMG_8744,LEGO Car Demo,Watch the build come together in this video.
lego,IMG_8745,LEGO Car Demo,Watch the build come together in this video.
lego,IMG_8748,LEGO Car Demo,Watch the build come together in this video.
lego,IMG_8752,LEGO Car Demo,Watch the build come together in this video.
